#,TEAM,P,W,D,L,PF,PA,PD,TB,LB,Pts
1,Trinity,5,5,0,0,133,93,40,2,0,22
2,Twickenham,5,4,0,1,155,92,63,3,1,20
3,Weybridge Vandals,5,4,0,1,153,108,45,4,0,20
4,Eastbourne,5,3,0,2,192,95,97,4,1,17
5,Old Rutlishians,5,3,0,2,151,137,14,3,2,17
6,London Cornish,5,3,0,2,150,135,15,3,1,16
7,Cobham,5,2,0,3,208,143,65,4,2,14
8,Old Haileyburians,5,2,0,3,146,129,17,3,2,13
9,KCS Old Boys,5,2,0,3,134,174,-40,3,0,11
10,East Grinstead,5,1,0,4,76,179,-103,1,1,6
11,Hove,5,1,0,4,69,191,-122,1,0,5
12,Haywards Heath,5,0,0,5,105,196,-91,2,2,4
